序号,公司名称,注册资金,法定代表人,成立时间,经营状态,电话,邮箱,详细地址,统一社会信用代码,纳税人识别号,注册号,组织机构代码,公司类型,所属行业,所属地区,成立时间,曾经用名,企业类型,股东,历史股东,补充电话,备注
四川浚叶电力设计有限公司,四川浚叶电力设计有限公司,500万人民币,詹文成,6090-09-94,存续,18284560493,2236672023@qq.com,成都市锦江区书院西街1号附33号亚太大厦16楼B单元,9151000069917744XP,9151000069917744XP,510000000139564,69917744X,其他有限责任公司,专业技术服务业,四川省工商行政管理局,6090-09-94,,其他有限责任公司,四川飞达电力建设集团有限公司,,,
四川省科源工程技术测试中心,四川省科源工程技术测试中心,1000万人民币,王志成,6006-02-63,存续,028-61509600,77408403@qq.com,成都市青羊区敬业路229号5栋1单元,91510000742277922N,91510000742277922N,510000000081755,742277922,全民所有制,专业技术服务业,四川省工商行政管理局,6006-02-63,,全民所有制,四川省煤田地质局,,,
温州广电全媒体广告有限公司,温州广电全媒体广告有限公司,200万人民币,章迅挺,6093-96-03,存续,88922307,暂无信息,浙江省温州市鹿城区南汇街道新城大道39号19楼,91330300MA29A15D45,91330300MA29A15D45,-,MA29A15D4,有限责任公司（非自然人投资或控股的法人独资）,商务服务业,温州市市场监督管理局,6093-96-03,,有限责任公司（非自然人投资或控股的法人独资）,温州广播电视传媒集团（温州市广播电视总台）,,,
西安飞机工业装饰装修工程股份有限公司,西安飞机工业装饰装修工程股份有限公司,10598万人民币,周伟,9223-96-65,在业,029-86883816,xfhyjc@163.com,,91610000709900284E,91610000709900284E,610000100162775,709900284,股份有限公司(非上市),建筑装饰和其他建筑业,陕西省工商行政管理局,9223-96-65,,股份有限公司(非上市),西安飞机工业集团有限责任公司,,,
中国移动通信集团浙江有限公司温州分公司,中国移动通信集团浙江有限公司温州分公司,-,夏正枢,9222-90-66,存续,0577-56726169,10086@chinamobile.com.cn,浙江省温州市鹿城区杨府山中央商务区19-4号地块,9.13300007176125E+017,9.13300007176125E+017,330000500004248,717612493,有限责任公司分公司(外商投资企业法人独资),电信、广播电视和卫星传输服务,浙江省工商行政管理局,9222-90-66,,有限责任公司分公司(外商投资企业法人独资),,,,
中茵电力科技（苏州）有限公司,中茵电力科技（苏州）有限公司,5010万人民币,燕立超,6099-06-67,存续,0512-69598830,暂无信息,,91320507569199819F,91320507569199819F,320503000092464,569199819,有限责任公司(自然人投资或控股),研究和试验发展,苏州市相城区市场监督管理局,6099-06-67,,有限责任公司(自然人投资或控股),燕立超,,,
重庆港深汇房地产代理有限公司,重庆港深汇房地产代理有限公司,50万人民币,庄泽宝,6095-08-61,存续,暂无信息,暂无信息,重庆市正阳工业园区标准化二期厂房3号楼5楼504,91500114MA5YYR6391,91500114MA5YYR6391,-,MA5YYR639,有限责任公司(法人独资),房地产业,重庆市工商行政管理局黔江区分局,6095-08-61,,有限责任公司(法人独资),中原（中国）房地产代理有限公司,,,
（Estudio）上海惠坊装饰工程有限公司,,,,,,,,,,,,,,,,,,,,,,
《中国经营报》社,《中国经营报》社,,,,,暂无信息,暂无信息,北京市海淀区玉泉山路23号院北区7号楼,中国社会科学院工业经济研究所,北京市海淀区玉泉山路23号院北区7号楼,-,12100000400006866E,事业、经营、附属单位上缴收入,-,,,,事业、经营、附属单位上缴收入,,,,
AAI国际建筑师事务所,,,,,,,,,,,,,,,,,,,,,,
CCD香港郑中设计事务所有限公司深圳市亚泰国际建设股份有限公司（联合体）,,,,,,,,,,,,,,,,,,,,,,
Charis Investment Holdings Pte Ltd,润和投资控股私人有限公司（Charis Investment Holdings PTE.LTD）,,,,,暂无信息,暂无信息,,,,,,,,,,,,,,,
CHARIS JNVESTMENT HOLDINGS PTE LTD,,,,,,,,,,,,,,,,,,,,,,
Cox Architecture Pty Ltd,,,,,,,,,,,,,,,,,,,,,,
Exceptional Assets Limited,EXCEPTIONAL ASSETS LIMITED,,,,,暂无信息,暂无信息,,,,,,,,,,,,,,,
LAB Architecture Studio Pty Ltd 中国注册：上海尚墨建筑设计工程有限公司,,,,,,,,,,,,,,,,,,,,,,
New Hope International (Hong Kong) Ltd,,,,,,,,,,,,,,,,,,,,,,
Q2解决方案私人有限公司,,,,,,,,,,,,,,,,,,,,,,
sichuan广西众海文化传播公司errordata,,,,,,,,,,,,,,,,,,,,,,
TCL-罗格朗国际电工（惠州）有限公司成都办事处,,,,,,,,,,,,,,,,,,,,,,
TCL照明电器（武汉）有限公司,TCL照明电器（武汉）有限公司,7000万人民币,史万文,6002-04-63,存续,0752-2618481,wangjian05@tcl.com,武汉市东西湖区吴家山五环路特9号（10）,91420112685425123T,91420112685425123T,420112400001330,685425123,有限责任公司（自然人投资或控股的法人独资）,电气机械和器材制造业,武汉市东西湖区工商行政管理局,6002-04-63,,有限责任公司（自然人投资或控股的法人独资）,惠州TCL照明电器有限公司,,,
Wilson & Associates LLC,威尔信（汕头保税区）动力设备有限公司,5000万人民币,刘兴华,6009-03-96,存续,83581111,genset@fgwilson.com.cn,,9.14405007292278E+017,9.14405007292278E+017,440500400013320,729227779,有限责任公司(台港澳法人独资),批发业,汕头市工商行政管理局,6009-03-96,,有限责任公司(台港澳法人独资),亚太电气有限公司,,,
阿里斯顿热能产品（中国）有限公司,阿里斯顿热能产品（中国）有限公司,1925万美元,ALBE WALTER,9221-96-66,在业,0510-68899777,lei.lu@cn.aristonthermo.com,,91320213607918141A,91320213607918141A,320200400006682,607918141,有限责任公司(外国法人独资),电气机械和器材制造业,无锡市新吴区市场监督管理局,9221-96-66,,有限责任公司(外国法人独资),阿里斯顿热能国际有限公司（ARISTON THERMO INTERNATIONAL S.R.L）,,,
阿特金斯顾问（深圳）有限公司上海分公司,阿特金斯顾问（深圳）有限公司上海分公司,-,朱晓丰,6006-03-40,存续,021-60802100,info.cn@atkinsglobal.com,上海市黄浦区南京西路388号22层2204-2210室,91310000741627062P,91310000741627062P,310000500104910,741627062,分公司,商务服务业,上海市工商行政管理局,6006-03-40,,分公司,,,,
艾欧史密斯（中国）热水器有限公司,艾欧史密斯（中国）热水器有限公司,4740万美元,JOHN J.KITA,9221-90-67,在业,025-8580100,jingchao@hotwater.com.cn,南京经济技术开发区尧新大道336号,91320100608935031K,91320100608935031K,320100400007605,608935031,有限责任公司(外国法人独资),电气机械和器材制造业,南京市工商行政管理局,9221-90-67,,有限责任公司(外国法人独资),艾欧史密斯（中国）投资有限公司,,,
艾奕康设计与咨询（深圳）有限公司上海分公司,艾奕康设计与咨询（深圳）有限公司上海分公司,-,鞠珩,6005-07-91,存续,021-61577888,amanda.li@aecom.com,上海市杨浦区政立路500号901-904室，906室，1001-1004室，1006室，1102室,9131000067455566X1,9131000067455566X1,310000500213044,67455566X,分公司,专业技术服务业,上海市工商行政管理局,6005-07-91,,分公司,,,,
爱迪士（上海）室内空气技术有限公司,爱迪士（上海）室内空气技术有限公司,260万美元,STANISLAS LACROIX,9225-96-62,存续,021-51696116,may.fang@aldeschina.com,上海市嘉定区南翔镇翔江公路965弄38号7幢,91310000607400940W,91310000607400940W,310000400209105,607400940,有限责任公司（外国法人独资）,通用设备制造业,上海市工商行政管理局,9225-96-62,,有限责任公司（外国法人独资）,法国爱迪士空气技术有限公司,,,
安钿贸易（上海）有限公司,安钿贸易（上海）有限公司,15万美元,董健军,6008-01-40,存续,021-38938580,yiyi.tang@onity.com,中国（上海）自由贸易试验区商城路1287号1幢三层322B室,91310115787872928B,91310115787872928B,310115400198327,787872928,有限责任公司（台港澳法人独资）,批发业,自贸区市场监督管理局,6008-01-40,,有限责任公司（台港澳法人独资）,联合技术远东有限公司,,,
安徽阶梯咨询设计有限公司温州分公司,安徽阶梯咨询设计有限公司温州分公司,-,季苏达,6094-04-99,,暂无信息,暂无信息,温州经济技术开发区雁荡西路100号2幢405室,-,-,330303000102920,-,有限责任公司分公司(自然人投资或控股),商务服务业,温州市龙湾区市场监督管理局,6094-04-99,,有限责任公司分公司(自然人投资或控股),,,,
安徽新视野门窗幕墙工程有限公司,安徽新视野门窗幕墙工程有限公司,10020万人民币,陈红艳,6001-05-62,存续,0551-66392799,ahxsyhr@163.com,,9.13401217790695E+017,9.13401217790695E+017,340121000001809,779069537,有限责任公司(自然人投资或控股),家具制造业,长丰县市场监督管理局,6001-05-62,,有限责任公司(自然人投资或控股),陈红艳,,,
安徕德（上海）建筑设计工程有限公司,安徕德（上海）建筑设计工程有限公司,15万美元,TRUDDY ZHENG,6097-06-65,存续,021-64339320,grace.wang@aai-arch.com,中国（上海）自由贸易试验区富特北路211号302部位368室,91310000088624749H,91310000088624749H,310141400004488,88624749,有限责任公司（外国法人独资）,建筑装饰和其他建筑业,上海市工商行政管理局,6097-06-65,,有限责任公司（外国法人独资）,ALLIED ARCHITECTS INTERNATIONAL （CANADA）,INC.,,
奥的斯电梯（中国）有限公司,奥的斯电梯（中国）有限公司,29876.364万人民币,曹立志,6001-96-97,存续,28101000,chenchen.hou@otis.com,天津经济技术开发区第九大街71号,9.11201167803499E+017,9.11201167803499E+017,120000400078397,780349878,有限责任公司(中外合资),批发业,天津市滨海新区市场和质量监督管理局,6001-96-97,,有限责任公司(中外合资),奥的斯电梯（中国）投资有限公司,,,
奥的斯电梯（中国）有限公司浙江分公司,奥的斯电梯（中国）有限公司浙江分公司,-,王如光,6008-01-92,存续,28909811,lixin.lou@otis.com,杭州市拱墅区潮王路238号银地大厦3楼,9133010079090461XC,9133010079090461XC,330100500000146,79090461X,分公司,通用设备制造业,杭州市市场监督管理局,6008-01-92,,分公司,,,,
奥的斯机电电梯有限公司,奥的斯机电电梯有限公司,3500万美元,朱康正,9223-04-96,存续,0571-85140888,jianqi.jiang@otis.com,,9.13301006091386E+017,9.13301006091386E+017,330100400019078,60913862-4,有限责任公司(中外合资),批发业,杭州市市场监督管理局,9223-04-96,,有限责任公司(中外合资),,,,
奥讯（大连）广告有限公司,奥讯（大连）广告有限公司,12万人民币,刘治刚,6094-05-40,存续,18840811828,253353707@qq.com,辽宁省大连市沙河口区金盾路68号1单元10层4号,9.12102040715964E+017,9.12102040715964E+017,210200000569000,71596454,有限责任公司(自然人投资或控股),商务服务业,大连市沙河口区市场监督管理局,6094-05-40,,有限责任公司(自然人投资或控股),金国新,,,
奥雅纳工程咨询（上海）有限公司,奥雅纳工程咨询（上海）有限公司,192.08万美元,郭家耀,6007-09-08,存续,021-31188988,dong-mei.yang@arup.com,上海市徐汇区淮海中路1045号39、41层,9.13100007569994E+017,9.13100007569994E+017,310000400367937,756999360,有限责任公司（外国法人独资）,商务服务业,上海市工商行政管理局,6007-09-08,,有限责任公司（外国法人独资）,ARUP　GROUP　LIMITED,,,
巴洛克木业（中山)有限公司,巴洛克木业（中山）有限公司,16880万人民币,CHIA COLIN LIN,6008-01-96,存续,0760-88482388,luly1981@163.com,,91442000787935415W,91442000787935415W,442000400003055,787935415,有限责任公司(台港澳法人独资),家具制造业,中山市工商行政管理局,6008-01-96,,有限责任公司(台港澳法人独资),三林生活家控股（香港）有限公司,,,
白如玉洗井施工队,,,,,,,,,,,,,,,,,,,,,,
百斯特实业（上海）有限公司,百斯特实业（上海）有限公司,2000万人民币,江彬,6002-96-93,存续,021-57761229,59310603@qq.com,上海市松江区小昆山镇崇南公路435弄3号房B座,91310117698784459J,91310117698784459J,310227001491788,698784459,有限责任公司（自然人投资或控股）,批发业,松江市监局,6002-96-93,,有限责任公司（自然人投资或控股）,董磊,,,
柏诚工程技术（北京）有限公司广州分公司,柏诚工程技术（北京）有限公司广州分公司,-,何志明,6007-90-02,在业,37180088,edmond.ho@wsp.com,广州市天河区天河路230、232号第32层全层单元,91440101767668460E,91440101767668460E,440101400012358,767668460,分公司,专业技术服务业,广州市天河区工商行政管理局,6007-90-02,,分公司,,,,
柏涛品林（上海）建筑设计咨询有限公司,柏涛品林（上海）建筑设计咨询有限公司,30万美元,张康,6093-01-01,存续,021-38710219,暂无信息,中国（上海）自由贸易试验区德堡路38号2幢二层212-32室,91310115MA1K3PWC35,91310115MA1K3PWC35,310141400067545,MA1K3PWC3,有限责任公司（台港澳法人独资）,商务服务业,自贸区市场监督管理局,6093-01-01,,有限责任公司（台港澳法人独资）,柏涛品林（中国）有限公司,,,
半岛晨报,大连半岛晨报传媒有限公司,5000万人民币,白立辉,6008-90-93,存续,0411-82499922,657660899@qq.com,辽宁省大连市西岗区长春路360号,9.12102007920239E+017,9.12102007920239E+017,210200000266958,792023883,有限责任公司（非自然人投资或控股的法人独资）,商务服务业,大连市工商行政管理局,6008-90-93,,有限责任公司（非自然人投资或控股的法人独资）,辽宁北方报业传媒股份有限公司,,,
半岛晨报广告经营中心,,,,,,,,,,,,,,,,,,,,,,
帮惠科技（大连）有限公司,帮惠科技（大连）有限公司,125万人民币,张世元,6091-08-68,存续,39035203,xy@fangbanghui.com,辽宁省大连高新技术产业园区火炬路1号A座四层406室,9121020434118977X4,9121020434118977X4,210204000103105,34118977X,有限责任公司(自然人投资或控股),软件和信息技术服务业,大连高新技术产业园区市场监督管理局,6091-08-68,,有限责任公司(自然人投资或控股),张世元,,,
北京艾迪尔建筑装饰工程股份有限公司,北京艾迪尔建筑装饰工程股份有限公司,2000万人民币,罗勍,9221-07-68,在业,52980101,lyd@ideal.com.cn,北京市西城区车公庄大街4号17幢平房,91110102101427601K,91110102101427601K,110102000702540,101427601,股份有限公司(非上市、自然人投资或控股),建筑装饰和其他建筑业,北京市工商行政管理局西城分局,9221-07-68,,股份有限公司(非上市、自然人投资或控股),罗劲,,,
北京安家万邦文化传媒有限公司,北京安家万邦传媒科技股份有限公司,5420万人民币,刘文斌,6001-96-63,在业,010-82337786,zhouqilian@anjiagroup.com,北京市门头沟区石龙经济开发区永安路20号3号楼A-3741室,91110109783971507Y,91110109783971507Y,110109009232661,783971507,股份有限公司(非上市、自然人投资或控股),科技推广和应用服务业,北京市工商行政管理局门头沟分局,6001-96-63,,股份有限公司(非上市、自然人投资或控股),刘文斌,,,
北京奥力来健身有限公司,北京奥力来健身有限公司,500万人民币,邱日明,6094-96-61,在业,65516098,gengjing@active.cn,北京市顺义区木林镇李各庄村杨木路5号,91110113089653744T,91110113089653744T,110113016616834,89653744,有限责任公司(自然人投资或控股),体育,北京市工商行政管理局顺义分局,6094-96-61,,有限责任公司(自然人投资或控股),姜鸣镝,,,
北京奥力来康体设备有限公司,北京奥力来康体设备有限公司,500万人民币,夏荣鹏,6009-02-95,在业,010-65516098-851,arlenejiang@active.cn,北京市朝阳区朝阳门北大街乙12号天辰大厦608室,91110105600387659B,91110105600387659B,110105003290283,600387659,有限责任公司(中外合资),零售业,北京市工商行政管理局朝阳分局,6009-02-95,,有限责任公司(中外合资),吴耀殷,,,
北京百合建业建筑工程有限公司,北京百合建业建筑工程有限公司,3280万人民币,耿成林,9228-09-96,在业,010-56916533,bjshouhua@163.com,北京市朝阳区三间房西路2号院4号楼2层4-3,91110105101450721B,91110105101450721B,110108000716230,101450721,有限责任公司(自然人投资或控股),房屋建筑业,朝阳分局,9228-09-96,,有限责任公司(自然人投资或控股),耿成林,,,
北京宝盾门业技术有限公司,北京宝盾门业技术有限公司,210万美元,纽斯·胡贝尔（ Niels Jacob Huber）,6009-07-04,在业,67877766,cathy.shan@boonedam.com,北京市北京经济技术开发区同济北路10号,91110302600087146U,91110302600087146U,110000410157220,600087146,有限责任公司(中外合资),科技推广和应用服务业,北京市工商行政管理局北京经济技术开发区分局,6009-07-04,,有限责任公司(中外合资),荷兰皇家宝盾国际集团,,,
北京北黄自动化设备安装有限公司,北京北黄自动化设备安装有限公司,236万美元,黄文利,9226-06-65,在业,13801063298,liujunying1961@sina.com,北京市朝阳区曙光西里甲1号东域大厦A座901室,9.11101056000194E+017,9.11101056000194E+017,110000410016749,600019362,有限责任公司(台港澳与境内合资),建筑安装业,朝阳分局,9226-06-65,,有限责任公司(台港澳与境内合资),香港黄氏技术工程有限公司,,,
北京冰谷数字技术有限责任公司,北京冰谷数字技术有限责任公司,500万人民币,刘頔,6003-01-99,在业,82866892,shi2011xiaomei@163.com,北京市海淀区双清路3号32019室(东升地区),91110108662185120G,91110108662185120G,110108010182988,662185120,有限责任公司(自然人投资或控股),科技推广和应用服务业,北京市工商行政管理局海淀分局,6003-01-99,,有限责任公司(自然人投资或控股),左翼,,,
北京波森特岩土工程有限公司,北京波森特岩土工程有限公司,10000万人民币,王继忠,9222-07-97,在业,010-84810820,zlxpuissant@sina.com,北京市门头沟区潭柘寺镇鲁家滩大街28号,9.11101097002207E+017,9.11101097002207E+017,110109000313471,700220717,有限责任公司(自然人投资或控股),土木工程建筑业,北京市工商行政管理局门头沟分局,9222-07-97,,有限责任公司(自然人投资或控股),王继忠,,,
北京彩易达科技发展有限公司,北京彩易达科技发展有限公司,4100万人民币,郑健,6006-04-99,在业,010-60709005,fandongli@c-led.com,北京市东城区长青园7号3207室,91110101736457329F,91110101736457329F,110103003676709,736457329,其他有限责任公司,科技推广和应用服务业,北京市工商行政管理局东城分局,6006-04-99,,其他有限责任公司,东莞勤上光电股份有限公司,,,
北京城建集团三建设发展有限责任公司南宁分公司,,,,,,,,,,,,,,,,,,,,,,
北京创新精细化工有限公司,北京市创新精细化工有限责任公司,500万人民币,师毅伟,9225-90-66,在业,010-60590645,2544044893@qq.com,北京市通州区中关村科技园区通州园金桥科技产业基地景盛南四街5号,91110112700067628D,91110112700067628D,110112008280912,700067628,有限责任公司(自然人投资或控股),化学原料和化学制品制造业,北京市工商行政管理局通州分局,9225-90-66,,有限责任公司(自然人投资或控股),师毅伟,,,
北京道林建筑规划设计公司,北京道林建筑规划设计咨询有限公司,20万美元,张晓红,6007-06-99,在业,010-56676828,286650371@qq.com,北京市朝阳区大黄庄35号2幢-05,9.11101057582014E+017,9.11101057582014E+017,110000410193570,758201383,有限责任公司(外国法人独资),专业技术服务业,朝阳分局,6007-06-99,,有限责任公司(外国法人独资),塞维达斯中国投资有限责任公司,,,
北京道林建筑规划设计咨询有限公司,北京道林建筑规划设计咨询有限公司,20万美元,张晓红,6007-06-99,在业,010-56676828,286650371@qq.com,北京市朝阳区大黄庄35号2幢-05,9.11101057582014E+017,9.11101057582014E+017,110000410193570,758201383,有限责任公司(外国法人独资),专业技术服务业,朝阳分局,6007-06-99,,有限责任公司(外国法人独资),塞维达斯中国投资有限责任公司,,,
北京德恒(温州)律师事务所,,,,,,,,,,,,,,,,,,,,,,
北京东方华太建筑设计工程有限责任公司,北京东方华太建筑设计工程有限责任公司,1000万人民币,徐建伟,9227-96-62,在业,010-63962028,yujie.liu@sino-sun.com,北京市海淀区八里庄街道五孔桥35号院21号平房,91110108102104265F,91110108102104265F,110106004607918,102104265,有限责任公司(自然人投资或控股),专业技术服务业,北京市工商行政管理局海淀分局,9227-96-62,,有限责任公司(自然人投资或控股),徐建伟,,,
北京东方雨虹防水技术股份有限公司,北京东方雨虹防水技术股份有限公司,149916.186万人民币,李卫国,9225-04-40,在业,010-59031875,yuhong@yuhong.com.cn,,91110000102551540H,91110000102551540H,110000006043786,102551540,股份有限公司(上市、自然人投资或控股),科技推广和应用服务业,北京市工商行政管理局顺义分局,9225-04-40,,股份有限公司(上市、自然人投资或控股),李卫国,,,
北京丰泰国际建筑装饰工程有限公司,北京丰泰国际建筑装饰工程有限公司,1000万人民币,刘文丰,6002-01-63,在业,010-87517127,fengtai100@163.com,北京市朝阳区百子湾路16号百子园4号楼B单元805号,91110105690038435W,91110105690038435W,110105011957343,690038435,有限责任公司(自然人投资或控股),建筑装饰和其他建筑业,朝阳分局,6002-01-63,,有限责任公司(自然人投资或控股),刘文丰,,,
北京福美来新型材料有限公司,北京福美来新型材料有限公司,100万人民币,王德占,6002-08-02,在业,18611124187,754167007@qq.com,北京市通州区张家湾镇南火垡村村委会南700米,9.11101126908383E+017,9.11101126908383E+017,110112011993494,690838272,有限责任公司(自然人投资或控股),批发业,通州分局,6002-08-02,,有限责任公司(自然人投资或控股),王德占,,,
北京富思特装饰有限责任公司,北京富思特装饰有限责任公司,1000万人民币,刘爱彬,9228-05-64,在业,010-67625232,yinyangyan@firstnmt.com,北京市大兴区庞各庄镇瓜乡路10号3号楼650室,91110115101204205R,91110115101204205R,110115006672591,101204205,有限责任公司(法人独资),建筑装饰和其他建筑业,大兴分局,9228-05-64,,有限责任公司(法人独资),拉萨经济技术开发区富思泓力股权投资有限公司,,,
北京港源建筑装饰工程有限公司,北京港源建筑装饰工程有限公司,30000万人民币,符剑平,9226-96-03,在业,010-61712226,office@bjgyzs.com,北京市昌平区小汤山工业开发区大东流295号,91110114600000717F,91110114600000717F,110000410032829,600000717,其他有限责任公司,建筑装饰和其他建筑业,北京市工商行政管理局昌平分局,9226-96-03,,其他有限责任公司,北京江河创展管理咨询有限公司,,,
北京高因科技有限公司,北京高因科技有限公司,20013.349万人民币,王鹏,6091-01-61,在业,010-85153441,chenyan@comjia.com,北京市海淀区西三旗建材城中路1号甲7号楼3层353室,91110108322295227U,91110108322295227U,110000450286940,322295227,有限责任公司(台港澳法人独资),科技推广和应用服务业,海淀分局,6091-01-61,,有限责任公司(台港澳法人独资),高因集团有限公司,,,
北京广达精捷信工程咨询有限公司,北京广达精捷信工程咨询有限公司,518万人民币,贾雪丽,6006-07-91,在业,58895841,jjxcwb@126.com,北京市海淀区永定路88号长银大厦7B21室 (住宅),91110108738203285C,91110108738203285C,110108003762532,738203285,有限责任公司(自然人投资或控股),专业技术服务业,北京市工商行政管理局海淀分局,6006-07-91,,有限责任公司(自然人投资或控股),谢庆平,,,
北京广联达软件技术有限公司沈阳分公司,广联达科技股份有限公司沈阳分公司,-,许盼攀,6006-03-69,存续,024-22815020,942924470@qq.com,辽宁省沈阳市和平区南京北街272号28层03号,91210102738688059N,91210102738688059N,210102100002560,738688059,股份有限公司分公司(上市、自然人投资或控股),软件和信息技术服务业,沈阳市和平区市场监督管理局,6006-03-69,,股份有限公司分公司(上市、自然人投资或控股),,,,
